Begriffe,Website-Text,Website-Verlinkung,Quellen,Allgemeine Begrifflichkeiten,Psychische Gewalt,Körperliche Gewalt,Gewalt in der Arbeitswelt ,Häusliche Gewalt ,Digitale Gewalt 
Finanzielle Gewalt,"Finanzielle Gewalt ist das Ausüben von Macht und Kontrolle im finanziellen Bereich, sodass das eigene Handeln und Entscheiden eingeschränkt wird. Es bedeutet die ungleiche Verfügungsmacht über finanzielle Mittel und die Ausnützung von ökonomischer Überlegenheit. Finanzielle Abhängigkeit ist also nicht gleichzusetzen mit finanzieller Gewalt. Der Missbrauch dieser Abhängigkeit ist Gewalt.",https://www.geldfrau.de/finanzielle-gewalt-gegen-frauen-erkennen-und-beenden/,"Vgl. Geldfrau 2023, Finanzielle Gewalt",,,,,x,
Gaslighting,"Der Begriff „Gaslighting“ bezeichnet eine Form von psychischer Gewalt, bei dem die Opfer so stark durch Lügen, Leugnen und Einschüchterungstaktiken manipuliert werden, dass sie anfangen, an ihrem eigenen Verstand zu zweifeln. In der Regel findet Gaslighting in engen Beziehungen und Partnerschaften statt (also bei Ehepartnern, der Mutter, dem Vater) – weil sie die größte Angriffsfläche bieten: Jemandem, den man liebt, vertraut man. So beginnt „Gaslighting“ oft als märchenhafte Liebesbeziehung, bei der anfangs alles bestens scheint. Im Laufe der Zeit ändern sich die Dinge jedoch allmählich – das Heimtückische beim „Gaslighting“: eine Lüge hier, eine Lüge da, ab und zu ein abfälliger Kommentar. Die stete Kritik am Handeln oder Aussehen, die Einschüchterungen und Versteckspiele haben auf Dauer verheerende Folgen: Der oder die Betroffene misstraut seiner eigenen Wahrnehmung, wird zunehmend verwirrt und emotional erschöpft. ",https://www.barmer.de/gesundheit-verstehen/psyche/psychische-gesundheit/gaslighting-1072304,"Vgl. Barmer, Psychische Gesundheit - Gaslighting - so erkennt man die gezielte Manipulation",x,x,,,,
geschlechtsspezifische Gewalt,"Geschlechtsspezifische Gewalt gegen Frauen ist Gewalt, die sich gegen Frauen richtet, weil die Betroffenen weiblichen Geschlechts sind. Gemeint sind damit alle Handlungen, durch die Frauen körperliches, sexuelles oder psychisches Leid erfahren oder wirtschaftlich Schaden nehmen. Schon die Androhung von Gewalt zählt dazu, genauso wie Nötigung oder willkürliche Freiheitsentziehung, ganz gleich ob im öffentlichen Raum oder im Privatleben.",https://www.frauenhauskoordinierung.de/themenportal/gewalt-gegen-frauen/gewaltformen/geschlechtsspezifische-gewalt/,"Vgl. Fraunhauskoordinierung, Geschlechtsspezifische Gewalt",x,,,,,
Grooming,"Grooming bedeutet, dass Erwachsene Kontakt mit meist Minderjährigen herstellen, diesen Kontakt gut pflegen, aber eigentlich eine sexuelle Intention haben. Die wird dabei oft erst später deutlich, wenn schon eine freundschaftliche Beziehung besteht. So haben die Groomer*innen bereits Vertrauen aufgebaut, das ihnen eine sexuelle Annäherung erleichtert. Grooming kann dabei einerseits face to face stattfinden, aber gerade Social Media bietet für Groomer*innen viele Möglichkeiten (siehe Cybergrooming).",https://www.esquire.de/life/gesellschaft/grooming-belaestigung,"Vgl. Esquire 2022, Keine Körperpflege, sondern sexuelle Belästigung: wo fängt ""Grooming"" eigentlich an?",x,,,,,
Häusliche Gewalt,"Häusliche Gewalt bezeichnet wie Partnerschaftsgewalt Gewalttaten zwischen Menschen, die in einer häuslichen Gemeinschaft leben oder lebten, beispielsweise in einer Ehe, Lebenspartnerschaft oder intimen Beziehung. Zu Partnerschaftsgewalt zählen nicht nur Schläge. Körperliche Gewalt ist nur eine Facette eines komplexen Verhaltensmusters, das umfassend auf Macht und Kontrolle zielt. Betroffene sind häufig auch psychischer Gewalt wie Demütigungen, Drohungen, Einschüchterungen, sozialer Isolation oder wirtschaftlichem Druck durch den Täter oder die Täterin ausgesetzt.",https://www.bmfsfj.de/bmfsfj/themen/gleichstellung/frauen-vor-gewalt-schuetzen/haeusliche-gewalt,"Vgl. BMFSFJ 2023, Formen der Gewalt erkennen",x,,,,x,
Intersektionalität,"Mit dem Ansatz Intersektionalität wird auch berücksichtigt, dass verschiedene Diskriminierungen nicht getrennt voneinander existieren. So sind Menschen, die von Armut betroffen sind, häufig außerdem weiblich und People of Color. Deswegen ergibt es auch keinen Sinn, verschiedene Diskriminierungen gegeneinander auszuspielen. Um Mitglieder unserer Gesellscahft vor Gewalt zu schützen, müssten alle Diskriminierungsmechanismen gleichzeitig bekämpft werden - also Sexismus, Rassismus, Klassismus, Ableismus. ",https://www.deutschlandfunknova.de/beitrag/mehrfach-diskriminiert-das-konzept-intersektionalitaet,Vgl. Deutschlandfunk Nova 2022: Mehrfach diskriminiert: Das Konzept Intersektionalität,x,,,,,
sexueller Konsens,"Bei sexuellem Konsens geht es darum zu fragen, was das Gegenüber möchte, und sich die Zustimmung, also den Konsens, einzuholen. Die Idee der Zustimmung ist einfach: Um Sex zu haben, müssen wir wissen, dass die Person, mit der wir Sex haben möchten, auch Sex mit uns haben will. Das bedeutet, dass wir verbal oder nonverbal mit der Partner*in kommunizieren und dafür sorgen, dass alle sexuellen Aktivitäten mit voller gegenseitiger Zustimmung stattfinden. Dabei gilt es, folgende Punkte zu beachten: Alle beteiligten Personen haben die Freiheit, Ja oder Nein zu sagen oder zu äussern. Zustimmung kann nicht mit Druck, Gewalt oder Manipulation erzwungen werden. Jede Person kann ihre Meinung jederzeit ändern, auch wenn sie zuvor zugestimmt hat. Alle involvierten Personen müssen bei jeder Handlung genau wissen, wozu sie ihr Einverständnis geben. Beim Sex sollen alle involvierten Personen nur tun, was sie tun wollen, und nichts tun müssen, weil sie sich verpflichtet fühlen. Für jede sexuelle Handlung braucht es die Zustimmung. «Ja» zu einer Handlung sagen (z.B. ins Schlafzimmer gehen und küssen) bedeutet nicht, auch ein «Ja» zu einer anderen Handlung gegeben zu haben (z.B. Sex haben).",https://www.amnesty.ch/de/themen/frauenrechte/sexualisierte-gewalt/gegenseitige-zustimmung,"Vgl. Amnestiy International Schweiz 2022, Konsens in sexuellen Beziheungen - Worum geht es?",,x,x,,,
Körperliche Gewalt,"Die körperliche Gewalt wird auch physische Gewalt genannt. Diese Form meint ein nach aussen gerichtetes, aggressives Verhalten, welches die Schädigung und/oder Verletzung eines anderen zur Folge hat. Bei dieser Form wird also körperliche Gewalt angewandt, um einen anderen Menschen zu verletzen oder sogar zu töten. Beispiele: Schubsen, Treten und Schlagen, Ohrfeigen, Anspucken, Festhalten, Einsperren / Aussperren, Würgen.",https://www.juraforum.de/lexikon/gewalt#koerperliche-physische-gewalt,Vgl. Jura Forum ,,,x,,x,
Love Bombing,"Love Bombing (zu Deutsch Liebesbombardement) ist eine manipulative Beziehungstaktik, bei der jemand von einem „Love Bomber“ oder einer „Love Bomberin“ mit Aufmerksamkeit, Geschenken, Komplimenten und Versprechen regelrecht überschüttet wird. Der Love Bomber oder die Love Bomberin täuscht ernste Absichten vor und zielt darauf ab, eine Person schnellstmöglich von sich abhängig zu machen. Es handelt sich dabei um eine Form von emotionalem Missbrauch. Typischerweise findet Love Bombing während der Kennenlernphase statt. Es kann jedoch auch in einer bestehenden Beziehung eingesetzt werden, etwa nach einem Streit oder einer gemeinen Tat, um eine schnelle Vergebung zu erwirken. Sowohl Frauen als auch Männer können Täter beziehungsweise Täterinnen und Opfer von Love Bombing sein. Laut einer Forschungsarbeit einer amerikanischen Arbeitsgruppe aus dem Jahr 2017, die das Beziehungsverhalten von Studierenden im Alter von 18 bis 30 untersucht hat, neigen vor allem Personen mit narzisstischen Zügen sowie geringem Selbstwertgefühl zu Love Bombing. Narzissmus ist unter anderem durch eine starke Selbstbezogenheit, eine Überbewertung der eigenen Person und mangelnde Empathie gekennzeichnet.",https://www.aok.de/pk/magazin/familie/liebe-sexualitaet/love-bombing-bedeutung-anzeichen-und-praevention/,"Vgl. AOK 2023, Warum Love Bombing so gefährlich ist",x,x,,,,
Mikroaggressionen,"Mikroaggressionen sind alltägliche Kommentare, Fragen, verbale oder nonverbale Handlungen, die überwiegend marginalisierte Gruppen treffen und negative Stereotypen verfestigen. Sie können sowohl absichtlich als auch unabsichtlich geäußert oder getätigt werden. Obwohl sie oft nicht verletzend gemeint sind, können sie dazu führen, dass sich Menschen unsicher und unwohl fühlen. Mikroaggressionen mögen im Moment klein oder unbedeutend erscheinen, aber sie summieren sich und können Menschen das Gefühl geben nicht dazuzugehören.",https://vielfalt.uni-koeln.de/antidiskriminierung/glossar-diskriminierung-rassismuskritik/mikroagressionen,"Vgl. Universität zu Köln, Mikroaggressionen",,x,,x,x,
Mobbing,"Mobbing ist fortgesetzte Gewalt einer Person oder Gruppe gegenüber einer anderen Person. Hinter Mobbing steckt eine Dynamik, die auf Macht und Kontrolle in größeren Gruppen abzielt. Normalerweise gibt es einen oder wenige Angreiferinnen oder Angreifer - und eine größere Zahl Unbeteiligter, die nicht eingreifen, aber stillschweigend dazu beitragen. Die einzelnen Formen von Mobbing sind oftmals nicht klar von anderen Gewaltformen abzugrenzen. Üblicherweise zählen dazu das gezielte Verbreiten von Gerüchten, der Ausschluss aus Gesprächen und Entscheidungen, das Zerstören oder Vorenthalten von Arbeitsmitteln sowie abwertende und respektlose Umgangsformen. Aber auch die Zuteilung sinnloser, entwürdigender oder gesundheitsschädigender Aufgaben, das absichtliche Erzeugen von Stress oder die ungerechtfertigte Schlecht-Bewertung von Arbeitsergebnissen fallen unter die Definition von Mobbing. In besonders schweren Fällen kommt es auch zu körperlicher Gewalt.",https://www.bmfsfj.de/bmfsfj/themen/gleichstellung/frauen-vor-gewalt-schuetzen/haeusliche-gewalt/formen-der-gewalt-erkennen-80642,"Vgl. BMFSFJ 2023, Formen der Gewalt erkennen",x,x,,x,x,x
Misogynie ,"Der aus dem Altgriechischen stammende Begriff Misogynie lässt sich am genauesten als Frauenhass übersetzen, daneben findet man häufig als Synonym die Formulierung der Frauenfeindlichkeit. Misogynie beschreibt die Annahme einer ontologischen Minderwertigkeit von Frauen, wie sie seit der Antike in verschiedenen Schriften der Philosophie und Literatur, aber letztlich auch im christlichen Glauben, der Hexenverfolgung und wissenschaftlichen Abhandlungen zum Ausdruck gebracht wurde. Während der Begriff zwar etwas sehr Konkretes bezeichnet – nämlich die Abwertung von Frauen –, wird er gleichwohl seit vielen Jahren auch in einer allgemeineren Form als strukturelle Entwertung oder Benachteiligung von Weiblichkeit gebraucht.",https://www.bpb.de/shop/zeitschriften/apuz/267942/frauenfeindlich-sexistisch-antifeministisch/#footnote-target-2,"Vgl. Bundeszentrale für politische Bildung 2018, Aus Politik und Zeitgeschichte",x,,,,,
Sexuelle Nötigung,"Das Strafgesetzbuch benennt einen sexuellen Übergriff, bei welchem körperliche oder psychische Gewalt hinzukommt, als sexuelle Nötigung. Um den Straftatbestand einer sexuellen Nötigung zu erfüllen, müssen Umstände wie die folgenden vorliegen: 1) Gewalt gegenüber dem Opfer: Das Opfer wird geschlagen, niedergedrückt oder am Schreien gehindert; 2) Drohungen: Dem Opfer wird beispielsweise mit Gewalt oder dem Tod gedroht; 3) Ausnutzung einer Situation: Das Opfer wird beispielsweise unter Drogen gesetzt, so dass es sich nicht mehr wehren kann oder ist mit dem oder der Täter*in in einem Raum eingesperrt. Es ist zum Beispiel ebenso als sexuelle Nötigung zu betrachten, wenn eine Person durch solche Maßnahmen dazu genötigt wird, sexuelle Handlungen an der oder dem Täter oder einer dritten Person durchzuführen. Die schwerste Form der sexuellen Nötigung gemäß Strafgesetzbuch st die Vergewaltigung.",https://www.klugo.de/blog/sexuelle-noetigung,"Vgl. Klugo 2022, Was gilt als sexuelle Nötigung? Das sagt das StGB",,,x,,x,
Partnerschaftliche Gewalt,"Partnerschaftsgewalt bezeichnet Gewalttaten zwischen Menschen, die in einer häuslichen Gemeinschaft leben oder lebten, beispielsweise in einer Ehe, Lebenspartnerschaft oder intimen Beziehung. Zu Partnerschaftsgewalt zählen nicht nur Schläge. Körperliche Gewalt ist nur eine Facette eines komplexen Verhaltensmusters, das umfassend auf Macht und Kontrolle zielt. Betroffene sind häufig auch psychischer Gewalt wie Demütigungen, Drohungen, Einschüchterungen, sozialer Isolation oder wirtschaftlichem Druck durch den Täter oder die Täterin ausgesetzt.",https://www.bmfsfj.de/bmfsfj/themen/gleichstellung/frauen-vor-gewalt-schuetzen/haeusliche-gewalt/formen-der-gewalt-erkennen-80642,"Vgl. BMFSFJ 2023, Formen der Gewalt erkennen",x,x,x,,x,
Pathologischer Narzissmus,"Bei der krankhaften Form von Narzissmus (vergleichbar mit Selbstverliebtheit), also die narzisstische Persönlichkeitsstörung, handelt es sich um eine psychosomatische Erkrankung mit funktionalen Störungen der eigenen Selbstwertregulation. Menschen mit narzisstischer Persönlichkeitsstörung zeichnet ein krankhaft übertriebenes Selbstwertgefühl und Aufmerksamkeitsbedürfnis aus. Sowohl Gefühle der unbegrenzten Macht und des Erfolgs als auch der eigenen Vollkommenheit und Schönheit sind typisch. Die narzisstische Persönlichkeitsstörung ist vielschichtig, zum Teil in sich widersprüchlich. Meist ist weder das Selbstkonzept noch das Selbstwertgefühl eines Menschen mit narzisstischer Persönlichkeitsstörung wirklich stabil. Stattdessen schwanken beide häufig erheblich. Typische Kennzeichen von pathologischem Narzissmus sind: Selbstüberschätzung, Fantasieren, Überlegenheitsgefühle, Aufmerksamkeitssuche, ausbeiterisches Verhalten, Mangel an Empathie und Neid. ",https://www.onmeda.de/krankheiten/narzissmus-id202498/,"Vgl. Onmeda 2022, Narzissmus: Definition, Symptome und Typen",,x,,,,
psychische Gewalt,"Psychische Gewalt ist eine Form von Gewalt, die ohne Schläge auskommt. Psychische Gewalt kann in verschiedenen Facetten und mittels unterschiedlicher Verhaltensweisen und Strategien verübt werden. Ziel ist es dabei in der Regel immer, die andere Person zu schwächen, sie aus dem Gleichgewicht zu bringen und zu verunsichern. Opfer psychischer Gewalt beginnen, ihr Selbstbild zu ändern und das Vertrauen zu verlieren, sowohl in sich selbst, als auch in andere Personen. Gezielt ausgeübte psychische Gewalt ist dabei zu unterscheiden von der kurzfristigen Abreaktion von Frustration. So kann es in jedem Streit vorkommen, dass Worte fallen, die im Eifer des Gefechts und aufgrund eines aufgewühlten Gefühlslebens ausgesprochen werden. Mit psychischer Gewalt geht es jedoch nicht darum, sich kurzfristig „Luft zu machen“, sondern der Täter verfolgt dabei meist folgende Hauptziele: Macht, Kontrolle, Dominanz, Privilegien.",https://www.juraforum.de/lexikon/psychische-gewalt#was-ist-psychische-gewalt,"Vgl. Jura Forum, Was ist psychische Gewalt?",,x,,,,
Rape culture,"Rape culture beschreibt eine Gesellschaft, in der sexuelle Gewalt zwar weit verbreitet ist, aber von vielen Menschen nicht als solche gesehen wird: Opfern wird generell misstraut oder die Schuld zugeschoben, indem Täter geschützt und Vorfälle heruntergespielt werden. So werden beispielsweise Frauen, die Anzeige nach einem Übergriff erstatten, gefragt, warum sie denn zu so später Stunde allein unterwegs waren. Angestellten, die sich gegen Vorgesetzte wehren, wird strategisches Interesse unterstellt. Kindern wird gesagt, dass sie eine Situation wohl falsch verstanden hätten.",https://taz.de/Rape-Culture/!5075574/,"Vgl. taz 12.01.2013, Rape Culture - Die hässliche Wirklichkeit",x,,,,,
Sexismus,"Sexismus ist eine Art von Diskriminierung und bedeutet die Benachteiligung, Abwertung, Verletzung und Unterdrückung einer Person oder einer Gruppe aufgrund des Link Geschlechts. Sexismus ist auch die Vorstellung, dass Geschlechter eine Ordnung oder Reihenfolge haben. Zum Beispiel die Vorstellung, dass Männer mehr wert sind als Frauen. Wer sexistisch denkt, beachtet nicht die Persönlichkeit des einzelnen Menschen. Wer sexistisch denkt, denkt zum Beispiel: Sie ist eine Frau, dann muss sie auf eine bestimmte Art aussehen oder sich verhalten / Sie ist eine Frau, dann hat sie bestimmte Aufgaben / Er ist ein Mann, dann muss er etwas besonders gut können. Wer sexistisch denkt, denkt also nicht darüber nach, ob eine Person wirklich bestimmte Dinge gut kann oder gern machen möchte.",https://www.bpb.de/kurz-knapp/lexika/lexikon-in-einfacher-sprache/331402/sexismus/,"Vgl. Bundeszentrale für politische Bildung 2022, einfach POLITIK: Lexikon",x,,,,,
sexualisierte Gewalt,"Sexualisierte Gewalt bezeichnet jeden Übergriff auf die sexuelle Selbstbestimmung. Die Täter - weit überwiegend sind es Männer, auch wenn sexualisierte Gewalt ebenfalls von Frauen ausgehen kann - zwingen den Betroffenen ihren Willen auf. Es geht also nicht um Lust oder Erotik, sondern um Machtverhalten. Sexualisierte Gewalt wertet Menschen durch sexuelle Handlungen oder Kommunikation gezielt ab, demütigt und erniedrigt sie.",https://www.bmfsfj.de/bmfsfj/themen/gleichstellung/frauen-vor-gewalt-schuetzen/haeusliche-gewalt/formen-der-gewalt-erkennen-80642,"Vgl. BMFSFJ 2023, Formen der Gewalt erkennen ",x,x,x,x,x,x
sexuelle Belästigung,"Nicht nur körperliche Übergriffe wie Vergewaltigung, sexuelle Nötigung oder sexueller Missbrauch zählen zu dieser Form von Gewalt. Auch sexuelle Belästigungen und jede Form unerwünschter sexueller Kommunikation zählen dazu - obszöne Worte und Gesten, aufdringliche und unangenehme Blicke, das Zeigen oder Zusenden sexueller Inhalte und/oder von Pornografie.",https://www.bmfsfj.de/bmfsfj/themen/gleichstellung/frauen-vor-gewalt-schuetzen/haeusliche-gewalt/formen-der-gewalt-erkennen-80642,"Vgl. BMFSFJ 2023, Formen der Gewalt erkennen ",x,x,x,x,,x
sexuelle Belästigung am Arbeitsplatz,"Sexismus und sexuelle Belästigung am Arbeitsplatz kommen in zahlreichen Unternehmen und Organisationen vor. Die Antidiskriminierungsstelle des Bundes hat im Oktober 2019 eine Studie veröffentlicht: Demnach hat jede elfte erwerbstätige Person in den vergangenen drei Jahren sexuelle Belästigung und Gewalt am Arbeitsplatz erlebt. Frauen sind doppelt so häufig betroffen wie Männer. Betroffene können sich direkt gegen Täter oder Täterinnen wehren und bei ihrer Arbeitsstelle Schutz und Hilfe einfordern. Darüber hinaus sind manche Formen der sexuellen Belästigung auch strafrechtlich relevant - nämlich dann, wenn sie mit körperlichen Übergriffen einhergehen. Ein entschiedenes Vorgehen gegen Sexismus und sexuelle Belästigung am Arbeitsplatz fördert eine vertrauensvolle Zusammenarbeit und schafft eine starke, respektvolle Unternehmenskultur. Entscheidend ist es, Arbeitgeber und Beschäftigte zu befähigen, Sexismus und sexuelle Belästigung zu erkennen, sie zu ermutigen hinzusehen und zu zeigen, wie man dem wirksam entgegentreten kann.",https://www.bmfsfj.de/bmfsfj/themen/gleichstellung/frauen-vor-gewalt-schuetzen/haeusliche-gewalt/formen-der-gewalt-erkennen-80642,"Vgl. BMFSFJ 2023, Formen der Gewalt erkennen ",,,,x,,
